,t,channel,roi_name,mean,cell_count
350,58,0,roi_air,78.96538,0
351,58,1,roi_bac,75.28621,1
352,58,1,roi_dic,82.405815,608
353,58,1,roi_air,75.26803,0
354,59,0,roi_bac,93.805626,774
355,59,0,roi_dic,78.06753,31
356,59,0,roi_air,79.04088,0
357,59,1,roi_bac,75.29863,1
358,59,1,roi_dic,82.43779,620
359,59,1,roi_air,75.31468,0
360,60,0,roi_bac,93.71222,788
361,60,0,roi_dic,78.05414,40
362,60,0,roi_air,78.994354,0
363,60,1,roi_bac,75.28457,1
364,60,1,roi_dic,82.45302,580
365,60,1,roi_air,75.28782,0
366,61,0,roi_bac,93.675804,780
367,61,0,roi_dic,78.04928,39
368,61,0,roi_air,79.03615,0
369,61,1,roi_bac,75.28957,1
370,61,1,roi_dic,82.39541,607
371,61,1,roi_air,75.309654,0
372,62,0,roi_bac,93.60967,767
373,62,0,roi_dic,78.048584,27
374,62,0,roi_air,79.08939,0
375,62,1,roi_bac,75.29449,1
376,62,1,roi_dic,82.379456,558
377,62,1,roi_air,75.26268,0
378,63,0,roi_bac,93.54667,772
379,63,0,roi_dic,78.092255,34
380,63,0,roi_air,79.05686,0
381,63,1,roi_bac,75.27548,1
382,63,1,roi_dic,82.38,550
383,63,1,roi_air,75.31018,0
384,64,0,roi_bac,93.48249,749
385,64,0,roi_dic,78.13867,34
386,64,0,roi_air,79.0824,0
387,64,1,roi_bac,75.30909,1
388,64,1,roi_dic,82.443146,566
389,64,1,roi_air,75.30437,0
390,65,0,roi_bac,93.41875,748
391,65,0,roi_dic,78.07583,38
392,65,0,roi_air,78.98075,0
393,65,1,roi_bac,75.27556,1
394,65,1,roi_dic,82.42219,577
395,65,1,roi_air,75.2819,0
396,66,0,roi_bac,93.25819,779
397,66,0,roi_dic,78.10582,34
398,66,0,roi_air,79.061615,0
399,66,1,roi_bac,75.235146,1
400,66,1,roi_dic,82.3823,566
401,66,1,roi_air,75.19946,0
402,67,0,roi_bac,93.200806,757
403,67,0,roi_dic,78.0783,37
404,67,0,roi_air,78.956894,0
405,67,1,roi_bac,75.23648,1
406,67,1,roi_dic,82.41006,563
407,67,1,roi_air,75.25703,0
408,68,0,roi_bac,93.342094,757
409,68,0,roi_dic,78.14809,37
410,68,0,roi_air,79.01754,0
411,68,1,roi_bac,75.23361,1
412,68,1,roi_dic,82.395355,557
413,68,1,roi_air,75.20279,0
414,69,0,roi_bac,93.1745,737
415,69,0,roi_dic,78.15266,36
416,69,0,roi_air,78.97727,0
417,69,1,roi_bac,75.23826,1
418,69,1,roi_dic,82.38626,554
419,69,1,roi_air,75.28065,0
420,70,0,roi_bac,93.04662,715
421,70,0,roi_dic,78.14142,39
422,70,0,roi_air,78.96448,0
423,70,1,roi_bac,75.20868,1
424,70,1,roi_dic,82.3885,553
425,70,1,roi_air,75.21397,0
426,71,0,roi_bac,93.11263,712
427,71,0,roi_dic,78.158745,39
428,71,0,roi_air,78.99191,0
429,71,1,roi_bac,75.202705,1
430,71,1,roi_dic,82.37038,536
431,71,1,roi_air,75.23093,0
432,72,0,roi_bac,93.179726,737
433,72,0,roi_dic,78.19655,33
434,72,0,roi_air,79.073395,0
435,72,1,roi_bac,75.22359,1
436,72,1,roi_dic,82.440094,578
437,72,1,roi_air,75.224815,0
438,73,0,roi_bac,93.107185,736
439,73,0,roi_dic,78.16056,48
440,73,0,roi_air,78.93919,0
441,73,1,roi_bac,75.17812,1
442,73,1,roi_dic,82.34515,522
443,73,1,roi_air,75.18099,0
444,74,0,roi_bac,92.93588,739
445,74,0,roi_dic,78.15201,42
446,74,0,roi_air,78.901054,0
447,74,1,roi_bac,75.20749,1
448,74,1,roi_dic,82.409485,586
449,74,1,roi_air,75.20823,0
450,75,0,roi_bac,93.28374,731
451,75,0,roi_dic,78.31264,45
452,75,0,roi_air,79.20929,0
453,75,1,roi_bac,75.23527,1
454,75,1,roi_dic,82.33873,517
455,75,1,roi_air,75.242584,0
456,76,0,roi_bac,93.08196,757
457,76,0,roi_dic,78.2149,43
458,76,0,roi_air,78.98962,0
459,76,1,roi_bac,75.152435,1
460,76,1,roi_dic,82.21989,532
461,76,1,roi_air,75.127945,0
462,77,0,roi_bac,93.00177,726
463,77,0,roi_dic,78.224205,47
464,77,0,roi_air,79.03879,0
465,77,1,roi_bac,75.201805,1
466,77,1,roi_dic,82.23337,552
467,77,1,roi_air,75.15992,0
468,78,0,roi_bac,93.1666,704
469,78,0,roi_dic,78.31111,32
470,78,0,roi_air,79.153076,0
471,78,1,roi_bac,75.20073,1
472,78,1,roi_dic,82.219734,541
473,78,1,roi_air,75.170135,0
474,79,0,roi_bac,93.16071,708
475,79,0,roi_dic,78.31637,42
476,79,0,roi_air,79.1594,0
477,79,1,roi_bac,75.19869,1
478,79,1,roi_dic,82.15908,525
479,79,1,roi_air,75.21181,0
480,80,0,roi_bac,93.21044,671
481,80,0,roi_dic,78.3497,38
482,80,0,roi_air,79.262,0
483,80,1,roi_bac,75.16701,1
484,80,1,roi_dic,82.12064,567
485,80,1,roi_air,75.17669,0
486,81,0,roi_bac,93.135635,685
487,81,0,roi_dic,78.30318,30
488,81,0,roi_air,79.072136,0
489,81,1,roi_bac,75.17853,1
490,81,1,roi_dic,82.12286,549
491,81,1,roi_air,75.16049,0
492,82,0,roi_bac,93.14349,688
493,82,0,roi_dic,78.30653,38
494,82,0,roi_air,79.116356,0
495,82,1,roi_bac,75.19047,1
496,82,1,roi_dic,82.09981,541
497,82,1,roi_air,75.195045,0
498,83,0,roi_bac,93.206764,647
499,83,0,roi_dic,78.37259,35
500,83,0,roi_air,79.166916,0
501,83,1,roi_bac,75.14963,1
502,83,1,roi_dic,82.06684,536
503,83,1,roi_air,75.19312,0
504,84,0,roi_bac,93.2584,674
505,84,0,roi_dic,78.350006,41
506,84,0,roi_air,79.169235,0
507,84,1,roi_bac,75.17013,1
508,84,1,roi_dic,82.03185,569
509,84,1,roi_air,75.15313,0
510,85,0,roi_bac,93.49636,670
511,85,0,roi_dic,78.49319,28
512,85,0,roi_air,79.36488,0
513,85,1,roi_bac,75.16819,1
514,85,1,roi_dic,82.00415,562
515,85,1,roi_air,75.15759,0
516,86,0,roi_bac,93.4117,643
517,86,0,roi_dic,78.48296,31
518,86,0,roi_air,79.38453,0
519,86,1,roi_bac,75.15787,1
520,86,1,roi_dic,81.97738,558
521,86,1,roi_air,75.167984,0
522,87,0,roi_bac,93.41336,647
523,87,0,roi_dic,78.46322,39
524,87,0,roi_air,79.30918,0
525,87,1,roi_bac,75.177086,1
526,87,1,roi_dic,82.0129,549
527,87,1,roi_air,75.14325,0
528,88,0,roi_bac,93.452194,640
529,88,0,roi_dic,78.46688,31
530,88,0,roi_air,79.28527,0
531,88,1,roi_bac,75.13379,1
532,88,1,roi_dic,81.869774,571
533,88,1,roi_air,75.09647,0
534,89,0,roi_bac,93.58245,625
535,89,0,roi_dic,78.54305,32
536,89,0,roi_air,79.43648,0
537,89,1,roi_bac,75.1472,1
538,89,1,roi_dic,81.88603,573
539,89,1,roi_air,75.147064,0
540,90,0,roi_bac,93.630684,631
541,90,0,roi_dic,78.59558,45
542,90,0,roi_air,79.54651,0
543,90,1,roi_bac,75.14894,1
544,90,1,roi_dic,81.91784,562
545,90,1,roi_air,75.13807,0
546,91,0,roi_bac,93.71192,599
547,91,0,roi_dic,78.60447,31
548,91,0,roi_air,79.5108,0
549,91,1,roi_bac,75.15421,1
550,91,1,roi_dic,81.852745,571
551,91,1,roi_air,75.14252,0
552,92,0,roi_bac,93.71599,595
553,92,0,roi_dic,78.60848,36
554,92,0,roi_air,79.5293,0
555,92,1,roi_bac,75.1434,1
556,92,1,roi_dic,81.790115,559
557,92,1,roi_air,75.12147,0
558,93,0,roi_bac,93.59936,572
559,93,0,roi_dic,78.56329,32
560,93,0,roi_air,79.37794,0
561,93,1,roi_bac,75.10022,1
562,93,1,roi_dic,81.75983,564
563,93,1,roi_air,75.11141,0
564,94,0,roi_bac,93.77174,567
565,94,0,roi_dic,78.59083,37
566,94,0,roi_air,79.47873,0
567,94,1,roi_bac,75.12077,1
568,94,1,roi_dic,81.75579,583
569,94,1,roi_air,75.12014,0
570,95,0,roi_bac,93.784904,559
571,95,0,roi_dic,78.61503,38
572,95,0,roi_air,79.48328,0
573,95,1,roi_bac,75.11821,1
574,95,1,roi_dic,81.726776,564
575,95,1,roi_air,75.13114,0
576,96,0,roi_bac,93.87582,582
577,96,0,roi_dic,78.68899,39
578,96,0,roi_air,79.58743,0
579,96,1,roi_bac,75.12086,1
580,96,1,roi_dic,81.7189,545
581,96,1,roi_air,75.0873,0
582,97,0,roi_bac,93.83507,538
583,97,0,roi_dic,78.6637,37
584,97,0,roi_air,79.509895,0
585,97,1,roi_bac,75.11633,1
586,97,1,roi_dic,81.69405,549
587,97,1,roi_air,75.119606,0
588,98,0,roi_bac,93.967285,525
589,98,0,roi_dic,78.71035,37
590,98,0,roi_air,79.57076,0
591,98,1,roi_bac,75.08424,1
592,98,1,roi_dic,81.62747,560
593,98,1,roi_air,75.09337,0
594,99,0,roi_bac,93.963356,540
595,99,0,roi_dic,78.69356,36
596,99,0,roi_air,79.50518,0
597,99,1,roi_bac,75.082245,1
598,99,1,roi_dic,81.598785,544
599,99,1,roi_air,75.09332,0
600,100,0,roi_bac,93.97576,536
601,100,0,roi_dic,78.732994,36
602,100,0,roi_air,79.53291,0
603,100,1,roi_bac,75.09313,1
604,100,1,roi_dic,81.60333,581
605,100,1,roi_air,75.118675,0
606,101,0,roi_bac,94.13461,511
607,101,0,roi_dic,78.80431,34
608,101,0,roi_air,79.70993,0
609,101,1,roi_bac,75.09712,1
610,101,1,roi_dic,81.585335,529
611,101,1,roi_air,75.081345,0
612,102,0,roi_bac,94.21926,468
613,102,0,roi_dic,78.825935,38
614,102,0,roi_air,79.67518,0
615,102,1,roi_bac,75.0596,1
616,102,1,roi_dic,81.51228,572
617,102,1,roi_air,75.07428,0
618,103,0,roi_bac,94.15886,487
619,103,0,roi_dic,78.79247,41
620,103,0,roi_air,79.64673,0
621,103,1,roi_bac,75.05131,1
622,103,1,roi_dic,81.48238,579
623,103,1,roi_air,75.01268,0
624,104,0,roi_bac,94.21828,495
625,104,0,roi_dic,78.86184,40
626,104,0,roi_air,79.74365,0
627,104,1,roi_bac,75.0822,1
628,104,1,roi_dic,81.500755,544
629,104,1,roi_air,75.06152,0
630,105,0,roi_bac,94.32531,486
631,105,0,roi_dic,78.86323,41
632,105,0,roi_air,79.72895,0
633,105,1,roi_bac,75.06848,1
634,105,1,roi_dic,81.48546,527
635,105,1,roi_air,75.07522,0
636,106,0,roi_bac,94.40646,495
637,106,0,roi_dic,78.85485,35
638,106,0,roi_air,79.704865,0
639,106,1,roi_bac,75.09887,1
640,106,1,roi_dic,81.520065,567
641,106,1,roi_air,75.10337,0
642,107,0,roi_bac,94.45422,486
643,107,0,roi_dic,78.89003,41
644,107,0,roi_air,79.730095,0
645,107,1,roi_bac,75.05429,1
646,107,1,roi_dic,81.39021,528
647,107,1,roi_air,75.03359,0
648,108,0,roi_bac,94.49317,486
649,108,0,roi_dic,78.93967,46
650,108,0,roi_air,79.858345,0
651,108,1,roi_bac,75.08132,1
652,108,1,roi_dic,81.41635,583
653,108,1,roi_air,75.06582,0
654,109,0,roi_bac,94.70707,454
655,109,0,roi_dic,78.97318,44
656,109,0,roi_air,79.90125,0
657,109,1,roi_bac,75.08233,1
658,109,1,roi_dic,81.423965,543
659,109,1,roi_air,75.064835,0
660,110,0,roi_bac,94.710045,460
661,110,0,roi_dic,78.997185,37
662,110,0,roi_air,79.878876,0
663,110,1,roi_bac,75.06492,1
664,110,1,roi_dic,81.33724,534
665,110,1,roi_air,75.08697,0
666,111,0,roi_bac,94.65107,479
667,111,0,roi_dic,78.9661,40
668,111,0,roi_air,79.82435,0
669,111,1,roi_bac,75.04902,1
670,111,1,roi_dic,81.31898,560
671,111,1,roi_air,75.04694,0
672,112,0,roi_bac,94.7697,450
673,112,0,roi_dic,79.05595,45
674,112,0,roi_air,79.946434,0
675,112,1,roi_bac,75.06815,1
676,112,1,roi_dic,81.35129,546
677,112,1,roi_air,75.07564,0
678,113,0,roi_bac,94.96333,454
679,113,0,roi_dic,79.07883,39
680,113,0,roi_air,80.03012,0
681,113,1,roi_bac,75.06397,1
682,113,1,roi_dic,81.31687,567
683,113,1,roi_air,75.07771,0
684,114,0,roi_bac,95.28311,447
685,114,0,roi_dic,79.22228,49
686,114,0,roi_air,80.33834,0
687,114,1,roi_bac,75.10627,1
688,114,1,roi_dic,81.268105,535
689,114,1,roi_air,75.07785,0
690,115,0,roi_bac,94.983826,426
691,115,0,roi_dic,79.09491,50
692,115,0,roi_air,79.95134,0
693,115,1,roi_bac,75.03824,1
694,115,1,roi_dic,81.191055,557
695,115,1,roi_air,75.04418,0
696,116,0,roi_bac,95.08456,443
697,116,0,roi_dic,79.10955,46
698,116,0,roi_air,80.007484,0
699,116,1,roi_bac,75.06366,1
700,116,1,roi_dic,81.17276,545
701,116,1,roi_air,75.0338,0
702,117,0,roi_bac,95.328156,432
703,117,0,roi_dic,79.17588,45
704,117,0,roi_air,80.14185,0
705,117,1,roi_bac,75.03652,1
706,117,1,roi_dic,81.19448,543
707,117,1,roi_air,75.078514,0
708,118,0,roi_bac,95.334854,410
709,118,0,roi_dic,79.19703,45
710,118,0,roi_air,80.092995,0
711,118,1,roi_bac,75.03587,1
712,118,1,roi_dic,81.147255,575
713,118,1,roi_air,75.00905,0
714,119,0,roi_bac,95.38114,410
715,119,0,roi_dic,79.21676,48
716,119,0,roi_air,80.13423,0
717,119,1,roi_bac,75.0302,1
718,119,1,roi_dic,81.11898,549
719,119,1,roi_air,75.03648,0
720,120,0,roi_bac,95.419174,399
721,120,0,roi_dic,79.23751,44
722,120,0,roi_air,80.15881,0
723,120,1,roi_bac,75.04569,1
724,120,1,roi_dic,81.073875,554
725,120,1,roi_air,75.00463,0
726,121,0,roi_bac,95.592865,418
727,121,0,roi_dic,79.2746,50
728,121,0,roi_air,80.23102,0
729,121,1,roi_bac,75.05439,1
730,121,1,roi_dic,81.131454,579
731,121,1,roi_air,75.05011,0
732,122,0,roi_bac,95.66475,425
733,122,0,roi_dic,79.28832,48
734,122,0,roi_air,80.22504,0
735,122,1,roi_bac,75.048515,1
736,122,1,roi_dic,81.0983,551
737,122,1,roi_air,75.05263,0
738,123,0,roi_bac,95.87291,372
739,123,0,roi_dic,79.329704,37
740,123,0,roi_air,80.35491,0
741,123,1,roi_bac,75.04932,1
742,123,1,roi_dic,81.03636,563
743,123,1,roi_air,75.00955,0
